58,myPrevXpos,49,49
59,myTopOffsets,51,51
60,myBottomOffsets,52,52
61,myDefaultOffsets,53,53
62,isCompressedWeekend,117,117
63,STATIC_MUTEX,150,150
64,myOptionEventDispatcher,152,152
65,myBounds,154,154
66,myStartDate,156,156
67,myAtomUnitPixels,158,158
68,myTimeUnitStack,160,160
69,myTopUnit,162,162
70,myBottomUnit,164,164
71,myChartHeader,166,166
72,myBackgroundRenderer,167,167
73,myPainter,169,169
74,myOptionListeners,171,171
75,myProjectConfig,173,173
76,myChartUIConfiguration,174,174
77,myRenderers,176,176
78,myChartGrid,178,178
79,myTopUnitOffsets,195,195
80,myBottomUnitOffsets,196,196
81,myDefaultUnitOffsets,198,198
82,myTaskManager,378,378
83,myVerticalOffset,380,380
84,myHorizontalOffset,382,382
85,myScrollingSession,384,384
