48,RANDOM,37,37
49,FORMAT,38,38
50,NUMBER_OF_TESTS,39,39
51,ARRAY_SIZE,40,40
52,RANDOM_SIZE,41,41
53,INVALID,42,42
54,unsorted,44,44
55,sorted,45,45
56,string,46,46
57,firstTimeThru,48,48
58,debug,49,49
59,debugTime,50,50
60,debugMemory,51,51
61,TESTS,53,53
62,testNames,54,54
63,testResults,55,55
64,testIndex,56,56
65,avlTree,970,970
66,bTree,979,979
67,bst,988,988
68,aHeapMin,997,997
69,tHeapMin,998,998
70,aHeapMax,1011,1011
71,tHeapMax,1012,1012
72,pHashMap,1025,1025
73,cHashMap,1026,1026
74,hamt,1041,1041
75,javaHashMap,1050,1050
76,javaMinArrayHeap,1058,1069
77,javaMaxArrayHeap,1077,1088
78,javaArrayList,1096,1096
79,javaLinkedList,1104,1104
80,javaArrayQueue,1112,1112
81,javaLinkedQueue,1120,1120
82,javaRedBlackTreeInteger,1128,1128
83,javaRedBlackTreeString,1136,1136
84,javaStack,1144,1144
85,javaTreeMap,1152,1152
86,arrayList,1160,1160
87,linkedList,1169,1169
88,patriciaTrie,1178,1178
89,arrayQueue,1188,1188
90,linkedQueue,1197,1197
91,radixTrie,1206,1206
92,redBlackTree,1215,1215
93,javaSkipList,1224,1224
94,skipList,1233,1233
95,splayTree,1242,1242
96,arrayStack,1251,1251
97,linkedStack,1260,1260
98,treap,1269,1269
99,treeMap,1278,1278
100,trie,1287,1287
101,trieMap,1296,1296
102,javaSkipListMap,1305,1305
103,skipListMap,1313,1313
104,fSLEEP_INTERVAL,2239,2239
