39,fCDATASymbol,140,140
40,fIDSymbol,143,143
41,fIDREFSymbol,146,146
42,fIDREFSSymbol,149,149
43,fENTITYSymbol,152,152
44,fENTITIESSymbol,155,155
45,fNMTOKENSymbol,158,158
46,fNMTOKENSSymbol,161,161
47,fNOTATIONSymbol,164,164
48,fENUMERATIONSymbol,167,167
49,fIMPLIEDSymbol,170,170
50,fREQUIREDSymbol,173,173
51,fFIXEDSymbol,176,176
52,TOP_LEVEL_SCOPE,181,181
53,NAMESPACES,186,187
54,VALIDATION,190,191
55,DYNAMIC_VALIDATION,194,195
56,WARN_ON_DUPLICATE_ATTDEF,198,199
57,SYMBOL_TABLE,206,207
58,ERROR_REPORTER,210,211
59,GRAMMAR_POOL,214,215
60,DATATYPE_VALIDATOR_FACTORY,218,219
61,VALIDATION_MANAGER,222,223
62,RECOGNIZED_FEATURES,228,232
63,RECOGNIZED_PROPERTIES,235,241
64,DEBUG_ATTRIBUTES,246,246
65,DEBUG_ELEMENT_CHILDREN,249,249
66,fValidationManager,256,256
67,fValidationState,259,259
68,fNamespaces,264,264
69,fValidation,267,267
70,fDTDValidation,270,270
71,fDynamicValidation,276,276
72,fWarnDuplicateAttdef,279,279
73,fSymbolTable,284,284
74,fErrorReporter,287,287
75,fGrammarPool,290,290
76,fGrammarBucket,293,293
77,fDocLocation,296,296
78,fDatatypeValidatorFactory,299,299
79,fDocumentHandler,304,304
80,fDTDGrammar,309,309
81,fPerformValidation,314,314
82,fSkipValidation,317,317
83,fCurrentElement,322,322
84,fCurrentElementIndex,325,325
85,fCurrentContentSpecType,328,328
86,fRootElement,331,331
87,fSeenDoctypeDecl,334,334
88,fInCDATASection,336,336
89,fElementIndexStack,340,340
90,fContentSpecTypeStack,343,343
91,fElementQNamePartsStack,346,346
92,fElementChildren,363,363
93,fElementChildrenLength,366,366
94,fElementChildrenOffsetStack,373,373
95,fElementDepth,376,376
96,fSeenRootElement,381,381
97,fInElementContent,384,384
98,fTempElementDecl,389,389
99,fTempAttDecl,392,392
100,fEntityDecl,395,395
101,fTempQName,398,398
102,fBuffer,401,401
103,fValID,408,408
104,fValIDRef,411,411
105,fValIDRefs,414,414
106,fValENTITY,417,417
107,fValENTITIES,420,420
108,fValNMTOKEN,423,423
109,fValNMTOKENS,426,426
110,fValNOTATION,429,429
