0,toObject,46,52
1,toNative,54,59
2,getDictionary,74,76
3,getLocalName,79,85
4,getTxPowerLevel,86,92
5,getServiceUUIDs,94,100
6,getServiceData,102,108
7,getManufacturerData,109,115
8,getOverflowServiceUUIDs,120,126
9,isConnectable,130,136
10,getSolicitedServiceUUIDs,141,147
11,LocalNameKey,150,179
12,TxPowerLevelKey,152,179
13,ServiceUUIDsKey,154,179
14,ServiceDataKey,156,179
15,ManufacturerDataKey,158,179
16,OverflowServiceUUIDsKey,163,179
17,IsConnectable,168,179
18,SolicitedServiceUUIDsKey,173,179
19,toString,176,179
