2,131
3,2
3,48
5,6
5,47
6,47
23,73
24,73
25,96
25,163
25,80
25,81
25,82
25,83
25,84
25,85
25,73
26,96
26,163
26,80
26,81
26,82
26,83
26,84
26,85
26,73
27,1
27,2
28,2
29,71
29,1
29,2
30,2
31,2
34,1
34,2
34,71
34,72
34,192
35,1
35,2
35,74
35,75
35,76
35,80
35,81
35,82
35,83
35,84
35,85
35,98
35,102
35,104
35,136
35,244
35,128
36,2
37,2
38,2
39,2
40,2
40,73
43,2
43,129
43,130
44,87
44,194
44,1
44,2
44,116
44,120
44,119
44,122
44,50
44,51
44,52
44,54
44,56
44,58
44,60
44,62
44,64
44,66
44,68
45,1
45,2
46,1
46,2
47,2
47,6
47,91
47,48
48,2
49,1
49,2
49,50
49,51
49,52
49,54
49,56
49,58
49,60
49,62
49,64
49,66
49,68
49,115
71,80
71,81
71,82
71,83
71,84
71,85
71,158
72,1
72,2
72,97
72,102
72,80
72,81
72,82
72,83
72,84
72,85
72,124
72,137
72,139
72,159
72,192
73,2
74,2
75,2
76,1
76,2
76,102
76,104
76,79
76,80
76,81
76,82
76,83
76,84
76,85
77,2
77,79
78,1
78,2
78,102
78,103
78,110
78,88
79,1
79,2
79,105
79,97
79,102
79,103
79,89
79,78
79,106
87,2
88,2
88,102
88,110
89,2
89,90
90,2
90,102
90,110
90,132
93,1
93,2
93,92
94,1
94,2
94,93
94,92
102,214
102,247
104,111
104,214
108,1
108,2
108,107
109,1
109,2
109,108
109,107
111,112
112,2
112,220
114,2
114,113
114,115
115,224
115,233
115,234
115,235
115,236
115,237
115,238
115,239
115,240
115,241
115,242
115,243
123,1
123,2
123,114
123,222
123,223
123,225
123,226
123,227
123,228
124,2
124,126
124,127
124,136
124,244
125,116
126,1
126,2
127,1
127,2
127,126
128,2
129,2
129,130
129,97
129,102
130,2
130,129
130,220
52,53
52,55
52,57
52,59
52,61
52,63
52,65
52,67
52,69
52,80
52,81
52,82
52,83
52,84
52,85
52,98
52,136
52,244
52,126
53,116
53,125
54,53
54,55
54,57
54,59
54,61
54,63
54,65
54,67
54,69
54,80
54,81
54,82
54,83
54,84
54,85
54,98
54,136
54,244
54,126
54,127
55,116
55,125
56,126
56,127
56,136
56,244
56,80
56,81
56,82
56,83
56,84
56,85
56,98
56,53
56,55
56,57
56,59
56,61
56,63
56,65
56,67
56,69
57,116
57,125
58,53
58,55
58,57
58,59
58,61
58,63
58,65
58,67
58,69
58,80
58,81
58,82
58,83
58,84
58,85
58,98
58,136
58,244
59,116
59,125
60,80
60,81
60,82
60,83
60,84
60,85
60,98
60,136
60,244
60,53
60,55
60,57
60,59
60,61
60,63
60,65
60,67
60,69
61,116
61,125
62,53
62,55
62,57
62,59
62,61
62,63
62,65
62,67
62,69
62,80
62,81
62,82
62,83
62,84
62,85
62,98
62,136
62,244
63,116
63,125
64,80
64,81
64,82
64,83
64,84
64,85
64,98
64,136
64,244
64,53
64,55
64,57
64,59
64,61
64,63
64,65
64,67
64,69
65,116
65,125
66,53
66,55
66,57
66,59
66,61
66,63
66,65
66,67
66,69
66,80
66,81
66,82
66,83
66,84
66,85
66,98
66,136
66,244
67,116
67,125
68,53
68,55
68,57
68,59
68,61
68,63
68,65
68,67
68,69
68,80
68,81
68,82
68,83
68,84
68,85
68,98
68,136
68,244
69,116
69,125
98,111
98,245
101,102
101,110
